"SYMBOL","LPS_logFC","LPS_adjP","LPS_regulation","Sepsis_logFC","Sepsis_adjP","Sepsis_regulation","LPS_sig","Sepsis_sig","both_sig","same_direction","overlap_class"
"CCPG1",1.34405378916061,0.00314980155361446,"Up",1.00469095913164,9.20648940920805e-14,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"IFNLR1",-1.42960119577312,0.00315136115266423,"Down",-0.81034237330845,1.40594724903603e-08,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"ZNF256",-1.92443314885681,0.00315136115266423,"Down",-0.700337511549549,4.9442586862349e-12,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"PARP16",-1.26021245003771,0.00315886762066427,"Down",-0.538443218512289,7.2245719948326e-11,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"CHIC1",2.91098423093645,0.0031617643944325,"Up",-0.974543413405431,1.62700957656737e-15,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"ZNF584",-1.95672429879869,0.00316616661635595,"Down",-0.576780783573657,9.35481285531616e-12,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"WDR3",-1.32615299786498,0.00316616661635595,"Down",-0.633673063350235,2.04671081044952e-17,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"ALDH1B1",-2.88514879230148,0.00317459105275218,"Down",-0.662819988770867,9.4256436191282e-13,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"CHPT1",-1.16497798024248,0.0031790992981238,"Down",1.14204591410694,2.49908636231753e-15,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"CKAP2L",-3.07776168971495,0.00321863021434946,"Down",0.872964041300037,1.18177467841696e-06,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"GTF2B",1.48372648381503,0.00322448985804342,"Up",0.609532351090638,5.24495863397146e-14,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"UNG",-1.02681231055071,0.00322839737623976,"Down",-0.562105674796243,1.33117105227438e-08,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"TMEM120B",-1.90393170381548,0.00323652634876898,"Down",-0.539920450231113,1.12245599416668e-12,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"E2F2",-3.678102396086,0.00324247767509932,"Down",1.29486139259437,5.24473345160292e-22,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"CBX5",-1.36188371059157,0.00325524237438263,"Down",-0.578062587094442,2.06340663927384e-12,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"ADCK1",-1.63100702329068,0.00325524237438263,"Down",-0.566324998445212,6.25273923271178e-11,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"CD200",3.94729007020207,0.00327547295128637,"Up",-0.772196272144809,2.74072038681204e-08,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"LYL1",-1.09376217769223,0.0032785552381094,"Down",0.533010934697702,8.55186542774452e-07,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"SIPA1L2",-1.12602174972379,0.00327999599317547,"Down",1.0766547884002,5.88856019414382e-16,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"LAMB3",2.53529291737592,0.00328181209167172,"Up",0.864975082339682,1.10363343424833e-07,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"UNC5A",-1.46210748670613,0.00328798821162725,"Down",1.40711441340937,1.48328611543293e-20,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"FAM117B",-1.51666256063043,0.00335342845721366,"Down",-0.85263297908005,9.54036569593542e-21,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"ZNF749",-1.8973834282068,0.00335966525577801,"Down",-0.718905987516881,2.90599822143441e-13,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"SLC35F2",-1.21422411066005,0.00337284855833713,"Down",-0.59287308355086,7.0811137060547e-07,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"GMPR",3.00612041589913,0.00338770337119568,"Up",0.806558562582686,8.96503144752283e-05,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"ROGDI",-1.05367070037738,0.00341019244139917,"Down",0.821872888614328,5.43537365904707e-12,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"NLGN2",2.79884994389764,0.00341866036336395,"Up",-0.976804842969799,7.98891778508138e-12,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
