"SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulation"
"MICAL3",-1.11273857646705,10.0097881996643,-11.7762067251945,7.36251243342549e-19,1.79419195760241e-17,32.4691643589371,"Down"
"WRN",-0.7953329352588,9.71750709711623,-11.7692824125646,7.58071405633627e-19,1.84268926612437e-17,32.440142574775,"Down"
"SYNPO",-1.22737311616109,8.99529264392242,-11.7680080510256,7.62157553376821e-19,1.8502795824899e-17,32.4348007936077,"Down"
"G0S2",2.09725684249494,9.81546955485344,11.7608463079333,7.85536842626971e-19,1.90462929153608e-17,32.4047774220306,"Up"
"ZNF677",-0.991598008690071,8.64011996540524,-11.7594665419886,7.90123271127228e-19,1.9133338178381e-17,32.3989925468496,"Down"
"MFF",0.74300677410665,12.9091115819068,11.7503669002347,8.2105328973879e-19,1.98572875602695e-17,32.3608357852394,"Up"
"WDR3",-0.633673063350235,11.2428667453816,-11.7426043547656,8.48399627723697e-19,2.04671081044952e-17,32.3282786918163,"Down"
"PSTPIP1",0.541193291976758,15.3264284526527,11.7387712589353,8.62239194532566e-19,2.077333551562e-17,32.3121998086235,"Up"
"MYL6B",1.0212601030889,9.27820267969082,11.7372219590908,8.67897261352883e-19,2.08588624652809e-17,32.3057004319923,"Up"
"TMC8",-0.680716608419775,15.1519803812311,-11.7358358186185,8.72991120966918e-19,2.09550606199096e-17,32.2998852964865,"Down"
"DNTTIP1",0.787222666394622,13.5101875357984,11.734958947834,8.76229011333098e-19,2.10065239758171e-17,32.2962065419469,"Up"
"SYNJ2BP",-0.828633216047273,11.3947701175159,-11.7294453756977,8.96866820247509e-19,2.14744807346794e-17,32.2730734396016,"Down"
"LAMTOR2",0.787950994591598,12.4786194322336,11.7280318014699,9.02236268033456e-19,2.15761432815024e-17,32.2671420286338,"Up"
"C4ORF3",1.11814974818211,14.6188788416605,11.7272463377708,9.05233809779825e-19,2.16209015537338e-17,32.26384610032,"Up"
"DAD1",0.614955250503511,13.4869203606509,11.7240779306721,9.17427374851684e-19,2.18849166202197e-17,32.2505502958672,"Up"
"FES",0.949399162617949,15.0943118701397,11.7198672082322,9.33888392959787e-19,2.22499488957901e-17,32.2328788819504,"Up"
"ASGR2",1.20860107483321,12.2671189228415,11.7192382740018,9.3637246913993e-19,2.22814876392739e-17,32.2302392290582,"Up"
